age,sex,handedness,participant_id,project
12.0,,,A00035561,rocklandsample
11.0,,,A00035561,rocklandsample
38.0,,,A00035827,rocklandsample
36.0,,,A00035827,rocklandsample
25.0,,,A00035840,rocklandsample
26.0,,,A00035840,rocklandsample
17.0,,,A00035940,rocklandsample
16.0,,,A00035940,rocklandsample
13.0,,,A00035945,rocklandsample
14.0,,,A00035945,rocklandsample
36.0,,,A00037112,rocklandsample
35.0,,,A00037112,rocklandsample
7.0,,,A00037125,rocklandsample
31.0,,,A00037511,rocklandsample
32.0,,,A00037511,rocklandsample
32.0,,,A00037848,rocklandsample
33.0,,,A00037848,rocklandsample
37.0,,,A00039391,rocklandsample
33.0,,,A00039431,rocklandsample
28.0,,,A00039488,rocklandsample
27.0,,,A00039488,rocklandsample
25.0,,,A00040524,rocklandsample
9.0,,,A00040556,rocklandsample
34.0,,,A00040623,rocklandsample
28.0,,,A00040640,rocklandsample
11.0,,,A00040798,rocklandsample
16.0,,,A00040800,rocklandsample
9.0,,,A00040815,rocklandsample
35.0,,,A00040944,rocklandsample
15.0,,,A00043240,rocklandsample
15.0,,,A00043240,rocklandsample
15.0,,,A00043240,rocklandsample
34.0,,,A00043299,rocklandsample
9.0,,,A00043494,rocklandsample
28.0,,,A00043520,rocklandsample
25.0,,,A00043677,rocklandsample
27.0,,,A00043704,rocklandsample
36.0,,,A00043721,rocklandsample
28.0,,,A00043722,rocklandsample
14.0,,,A00043740,rocklandsample
13.0,,,A00043788,rocklandsample
38.0,,,A00043803,rocklandsample
28.0,,,A00043998,rocklandsample
42.0,,,A00045554,rocklandsample
63.0,,,A00045589,rocklandsample
29.0,,,A00045590,rocklandsample
7.0,,,A00050677,rocklandsample
15.0,,,A00050743,rocklandsample
10.0,,,A00050847,rocklandsample
16.0,,,A00050848,rocklandsample
31.0,,,A00050940,rocklandsample
47.0,,,A00050998,rocklandsample
18.0,,,A00051063,rocklandsample
19.0,,,A00051064,rocklandsample
77.0,,,A00051455,rocklandsample
62.0,,,A00051456,rocklandsample
69.0,,,A00051457,rocklandsample
21.0,,,A00051477,rocklandsample
40.0,,,A00051513,rocklandsample
21.0,,,A00051514,rocklandsample
67.0,,,A00051517,rocklandsample
61.0,,,A00051528,rocklandsample
57.0,,,A00051529,rocklandsample
28.0,,,A00051539,rocklandsample
26.0,,,A00051548,rocklandsample
18.0,,,A00051603,rocklandsample
69.0,,,A00051604,rocklandsample
18.0,,,A00051638,rocklandsample
18.0,,,A00051658,rocklandsample
32.0,,,A00051676,rocklandsample
66.0,,,A00051678,rocklandsample
27.0,,,A00051679,rocklandsample
15.0,,,A00051690,rocklandsample
6.0,,,A00051691,rocklandsample
18.0,,,A00051726,rocklandsample
15.0,,,A00051727,rocklandsample
15.0,,,A00051758,rocklandsample
30.0,,,A00051774,rocklandsample
78.0,,,A00051796,rocklandsample
60.0,,,A00051835,rocklandsample
53.0,,,A00051882,rocklandsample
49.0,,,A00051925,rocklandsample
38.0,,,A00051927,rocklandsample
10.0,,,A00052069,rocklandsample
67.0,,,A00052070,rocklandsample
42.0,,,A00052117,rocklandsample
68.0,,,A00052118,rocklandsample
26.0,,,A00052125,rocklandsample
24.0,,,A00052126,rocklandsample
8.0,,,A00052165,rocklandsample
47.0,,,A00052180,rocklandsample
37.0,,,A00052181,rocklandsample
,,,A00052182,rocklandsample
12.0,,,A00052182,rocklandsample
16.0,,,A00052183,rocklandsample
18.0,,,A00052197,rocklandsample
75.0,,,A00052214,rocklandsample
66.0,,,A00052234,rocklandsample
27.0,,,A00052235,rocklandsample
17.0,,,A00052237,rocklandsample
22.0,,,A00052307,rocklandsample
47.0,,,A00052319,rocklandsample
33.0,,,A00052340,rocklandsample
71.0,,,A00052423,rocklandsample
14.0,,,A00052461,rocklandsample
68.0,,,A00052499,rocklandsample
29.0,,,A00052500,rocklandsample
18.0,,,A00052502,rocklandsample
38.0,,,A00052560,rocklandsample
47.0,,,A00052612,rocklandsample
14.0,,,A00052613,rocklandsample
17.0,,,A00052614,rocklandsample
8.0,,,A00053171,rocklandsample
43.0,,,A00053202,rocklandsample
10.0,,,A00053203,rocklandsample
8.0,,,A00053320,rocklandsample
62.0,,,A00053369,rocklandsample
14.0,,,A00053390,rocklandsample
6.0,,,A00053406,rocklandsample
38.0,,,A00053455,rocklandsample
85.0,,,A00053456,rocklandsample
31.0,,,A00053473,rocklandsample
20.0,,,A00053474,rocklandsample
30.0,,,A00053475,rocklandsample
12.0,,,A00053490,rocklandsample
18.0,,,A00053546,rocklandsample
20.0,,,A00053576,rocklandsample
23.0,,,A00053577,rocklandsample
21.0,,,A00053578,rocklandsample
42.0,,,A00053607,rocklandsample
72.0,,,A00053625,rocklandsample
78.0,,,A00053626,rocklandsample
53.0,,,A00053627,rocklandsample
56.0,,,A00053647,rocklandsample
17.0,,,A00053744,rocklandsample
25.0,,,A00053850,rocklandsample
29.0,,,A00053851,rocklandsample
33.0,,,A00053854,rocklandsample
6.0,,,A00053873,rocklandsample
47.0,,,A00053874,rocklandsample
43.0,,,A00053901,rocklandsample
37.0,,,A00053902,rocklandsample
72.0,,,A00053926,rocklandsample
48.0,,,A00053927,rocklandsample
64.0,,,A00053949,rocklandsample
32.0,,,A00054019,rocklandsample
68.0,,,A00054038,rocklandsample
61.0,,,A00054153,rocklandsample
14.0,,,A00054206,rocklandsample
56.0,,,A00054358,rocklandsample
32.0,,,A00054441,rocklandsample
71.0,,,A00054482,rocklandsample
21.0,,,A00054533,rocklandsample
35.0,,,A00040193,rocklandsample
10.0,,,A00031578,rocklandsample
13.0,,,A00031578,rocklandsample
12.0,,,A00031578,rocklandsample
36.0,,,A00037112,rocklandsample
35.0,,,A00037112,rocklandsample
26.0,,,A00038998,rocklandsample
28.0,,,A00038998,rocklandsample
17.0,,,A00039943,rocklandsample
15.0,,,A00039943,rocklandsample
6.0,,,A00040117,rocklandsample
8.0,,,A00040117,rocklandsample
8.0,,,A00052165,rocklandsample
37.0,,,A00052181,rocklandsample
33.0,,,A00052340,rocklandsample
14.0,,,A00052461,rocklandsample
50.0,,,A00052577,rocklandsample
59.0,,,A00052639,rocklandsample
8.0,,,A00053320,rocklandsample
8.0,,,A00053320,rocklandsample
20.0,,,A00054173,rocklandsample
14.0,,,A00054206,rocklandsample
25.0,,,A00054504,rocklandsample
22.0,,,A00054532,rocklandsample
21.0,,,A00054534,rocklandsample
9.0,,,A00054578,rocklandsample
10.0,,,A00054581,rocklandsample
70.0,,,A00054621,rocklandsample
39.0,,,A00054857,rocklandsample
59.0,,,A00054895,rocklandsample
49.0,,,A00054897,rocklandsample
83.0,,,A00054913,rocklandsample
39.0,,,A00054914,rocklandsample
73.0,,,A00054929,rocklandsample
53.0,,,A00055061,rocklandsample
10.0,,,A00055076,rocklandsample
15.0,,,A00055116,rocklandsample
28.0,,,A00055121,rocklandsample
15.0,,,A00055122,rocklandsample
22.0,,,A00055215,rocklandsample
13.0,,,A00055267,rocklandsample
15.0,,,A00055332,rocklandsample
59.0,,,A00055352,rocklandsample
68.0,,,A00055353,rocklandsample
28.0,,,A00055373,rocklandsample
29.0,,,A00055446,rocklandsample
36.0,,,A00055447,rocklandsample
15.0,,,A00055462,rocklandsample
29.0,,,A00055542,rocklandsample
29.0,,,A00055542,rocklandsample
8.0,,,A00055612,rocklandsample
8.0,,,A00055612,rocklandsample
56.0,,,A00055692,rocklandsample
8.0,,,A00055693,rocklandsample
8.0,,,A00055693,rocklandsample
8.0,,,A00055727,rocklandsample
8.0,,,A00055727,rocklandsample
9.0,,,A00055728,rocklandsample
25.0,,,A00055738,rocklandsample
36.0,,,A00055763,rocklandsample
36.0,,,A00055763,rocklandsample
9.0,,,A00055765,rocklandsample
30.0,,,A00055806,rocklandsample
6.0,,,A00055832,rocklandsample
9.0,,,A00055866,rocklandsample
9.0,,,A00055866,rocklandsample
15.0,,,A00055867,rocklandsample
8.0,,,A00055903,rocklandsample
15.0,,,A00055906,rocklandsample
7.0,,,A00055907,rocklandsample
10.0,,,A00055908,rocklandsample
9.0,,,A00055920,rocklandsample
7.0,,,A00055946,rocklandsample
15.0,,,A00055991,rocklandsample
6.0,,,A00056020,rocklandsample
9.0,,,A00056022,rocklandsample
9.0,,,A00056022,rocklandsample
9.0,,,A00056022,rocklandsample
26.0,,,A00056097,rocklandsample
34.0,,,A00056098,rocklandsample
15.0,,,A00056138,rocklandsample
62.0,,,A00056164,rocklandsample
9.0,,,A00056198,rocklandsample
12.0,,,A00056295,rocklandsample
8.0,,,A00056307,rocklandsample
68.0,,,A00056372,rocklandsample
9.0,,,A00056420,rocklandsample
9.0,,,A00056420,rocklandsample
40.0,,,A00056452,rocklandsample
40.0,,,A00056452,rocklandsample
17.0,,,A00056453,rocklandsample
12.0,,,A00056470,rocklandsample
36.0,,,A00056489,rocklandsample
14.0,,,A00056605,rocklandsample
13.0,,,A00056628,rocklandsample
9.0,,,A00056679,rocklandsample
16.0,,,A00056703,rocklandsample
8.0,,,A00056746,rocklandsample
10.0,,,A00056920,rocklandsample
33.0,,,A00056949,rocklandsample
33.0,,,A00056949,rocklandsample
21.0,,,A00057005,rocklandsample
23.0,,,A00057035,rocklandsample
21.0,,,A00057182,rocklandsample
9.0,,,A00055541,rocklandsample
6.0,,,A00056419,rocklandsample
8.0,,,A00056830,rocklandsample
25.0,,,A00060471,rocklandsample
44.0,,,A00059845,rocklandsample
44.0,,,A00059845,rocklandsample
12.0,,,A00057698,rocklandsample
73.0,,,A00054929,rocklandsample
28.0,,,A00057183,rocklandsample
63.0,,,A00059664,rocklandsample
30.0,,,A00055806,rocklandsample
72.0,,,A00060431,rocklandsample
7.0,,,A00059142,rocklandsample
26.0,,,A00057372,rocklandsample
78.0,,,A00060252,rocklandsample
23.0,,,A00058667,rocklandsample
50.0,,,A00058539,rocklandsample
6.0,,,A00059734,rocklandsample
24.0,,,A00059018,rocklandsample
39.0,,,A00058571,rocklandsample
18.0,,,A00059990,rocklandsample
44.0,,,A00057313,rocklandsample
34.0,,,A00059428,rocklandsample
23.0,,,A00034854,rocklandsample
27.0,,,A00060848,rocklandsample
27.0,,,A00060848,rocklandsample
14.0,,,A00056165,rocklandsample
12.0,,,A00060384,rocklandsample
6.0,,,A00040581,rocklandsample
22.0,,,A00056898,rocklandsample
22.0,,,A00056627,rocklandsample
27.0,,,A00057808,rocklandsample
57.0,,,A00059662,rocklandsample
27.0,,,A00039277,rocklandsample
71.0,,,A00058998,rocklandsample
21.0,,,A00034854,rocklandsample
8.0,,,A00058003,rocklandsample
11.0,,,A00060265,rocklandsample
37.0,,,A00057965,rocklandsample
35.0,,,A00059074,rocklandsample
56.0,,,A00057445,rocklandsample
16.0,,,A00056703,rocklandsample
7.0,,,A00059422,rocklandsample
25.0,,,A00056919,rocklandsample
21.0,,,A00057203,rocklandsample
17.0,,,A00058685,rocklandsample
8.0,,,A00059326,rocklandsample
31.0,,,A00060006,rocklandsample
29.0,,,A00055646,rocklandsample
25.0,,,A00058515,rocklandsample
21.0,,,A00058999,rocklandsample
13.0,,,A00060846,rocklandsample
13.0,,,A00060846,rocklandsample
11.0,,,A00057967,rocklandsample
11.0,,,A00059109,rocklandsample
12.0,,,A00059316,rocklandsample
52.0,,,A00060264,rocklandsample
22.0,,,A00060169,rocklandsample
69.0,,,A00059361,rocklandsample
36.0,,,A00055962,rocklandsample
34.0,,,A00059756,rocklandsample
37.0,,,A00056306,rocklandsample
38.0,,,A00056306,rocklandsample
21.0,,,A00057235,rocklandsample
12.0,,,A00056225,rocklandsample
38.0,,,A00058218,rocklandsample
24.0,,,A00060925,rocklandsample
24.0,,,A00060925,rocklandsample
19.0,,,A00059362,rocklandsample
6.0,,,A00058755,rocklandsample
8.0,,,A00040581,rocklandsample
9.0,,,A00058570,rocklandsample
9.0,,,A00058570,rocklandsample
57.0,,,A00060574,rocklandsample
12.0,,,A00035364,rocklandsample
15.0,,,A00059846,rocklandsample
28.0,,,A00060630,rocklandsample
28.0,,,A00060630,rocklandsample
72.0,,,A00058318,rocklandsample
19.0,,,A00060629,rocklandsample
26.0,,,A00060662,rocklandsample
26.0,,,A00060662,rocklandsample
23.0,,,A00060516,rocklandsample
32.0,,,A00060480,rocklandsample
30.0,,,A00060372,rocklandsample
32.0,,,A00060259,rocklandsample
10.0,,,A00057726,rocklandsample
8.0,,,A00058004,rocklandsample
6.0,,,A00060673,rocklandsample
6.0,,,A00060673,rocklandsample
45.0,,,A00060430,rocklandsample
45.0,,,A00060430,rocklandsample
14.0,,,A00059865,rocklandsample
13.0,,,A00060014,rocklandsample
38.0,,,A00058952,rocklandsample
15.0,,,A00058229,rocklandsample
8.0,,,A00059875,rocklandsample
72.0,,,A00058317,rocklandsample
10.0,,,A00057480,rocklandsample
8.0,,,A00055693,rocklandsample
67.0,,,A00060602,rocklandsample
8.0,,,A00058951,rocklandsample
71.0,,,A00059663,rocklandsample
10.0,,,A00057862,rocklandsample
9.0,,,A00060258,rocklandsample
14.0,,,A00058537,rocklandsample
26.0,,,A00060371,rocklandsample
8.0,,,A00057863,rocklandsample
39.0,,,A00055751,rocklandsample
10.0,,,A00058516,rocklandsample
76.0,,,A00060306,rocklandsample
28.0,,,A00060279,rocklandsample
6.0,,,A00058215,rocklandsample
21.0,,,A00057406,rocklandsample
70.0,,,A00058436,rocklandsample
8.0,,,A00057809,rocklandsample
56.0,,,A00060005,rocklandsample
30.0,,,A00055806,rocklandsample
45.0,,,A00058552,rocklandsample
68.0,,,A00060185,rocklandsample
57.0,,,A00059107,rocklandsample
9.0,,,A00059733,rocklandsample
22.0,,,A00057786,rocklandsample
26.0,,,A00059911,rocklandsample
80.0,,,A00058145,rocklandsample
10.0,,,A00059427,rocklandsample
71.0,,,A00058644,rocklandsample
80.0,,,A00058130,rocklandsample
20.0,,,A00060577,rocklandsample
45.0,,,A00058144,rocklandsample
15.0,,,A00059935,rocklandsample
24.0,,,A00058214,rocklandsample
42.0,,,A00059346,rocklandsample
10.0,,,A00060429,rocklandsample
14.0,,,A00035364,rocklandsample
71.0,,,A00058170,rocklandsample
75.0,,,A00060301,rocklandsample
14.0,,,A00058053,rocklandsample
23.0,,,A00057444,rocklandsample
28.0,,,A00058131,rocklandsample
33.0,,,A00060632,rocklandsample
38.0,,,A00056556,rocklandsample
21.0,,,A00059527,rocklandsample
8.0,,,A00059326,rocklandsample
55.0,,,A00060383,rocklandsample
8.0,,,A00055693,rocklandsample
29.0,,,A00039277,rocklandsample
18.0,,,A00060628,rocklandsample
13.0,,,A00060503,rocklandsample
8.0,,,A00058060,rocklandsample
16.0,,,A00060280,rocklandsample
11.0,,,A00060603,rocklandsample
12.0,,,A00059325,rocklandsample
12.0,,,A00059325,rocklandsample
7.0,,,A00057725,rocklandsample
23.0,,,A00058686,rocklandsample
65.0,,,A00060170,rocklandsample
11.0,,,A00058756,rocklandsample
13.0,,,A00057405,rocklandsample
42.0,,,A00058503,rocklandsample
43.0,,,A00059344,rocklandsample
22.0,,,A00060302,rocklandsample
21.0,,,A00058621,rocklandsample
10.0,,,A00058061,rocklandsample
